Unnamed: 0,names,id,url,mean_valence,mean_danceability,mean_energy,mean_acousticness,mean_speechiness,mean_instrumentalness,med_valence,med_danceability,med_energy,med_acousticness,med_speechiness,med_instrumentalness,sd_valence,sd_danceability,sd_energy,sd_speechiness,sd_instrumentalness,quant1_danceability,quant1_energy,quant1_acousticness,quant1_speechiness,quant1_instrumentalness,quant3_danceability,quant3_energy,quant3_acousticness,quant3_speechiness,quant3_instrumentalness,mean_popularity,med_popularity,sd_popularity,quant1_popularity,quant3_popularity
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Today's Top Hits,37i9dQZF1DXcBWIGoYBM5M,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,0.489742,0.6833,0.61632,0.2574648,0.092798,0.0051090136,0.503,0.701,0.6085,0.197,0.057,0.0,0.231929079668588,0.141219795397971,0.147979513198722,0.0832024516171371,0.0198632411966787,0.6185,0.52425,0.0241,0.0416,0.0,0.78025,0.71525,0.417,0.1061,9.1125e-05,84.6,89.0,18.4987589214156,84.0,92.0
3,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd,0.489456,0.78572,0.60274,0.13156974,0.232856,0.0123723762,0.457,0.7875,0.6135,0.0756,0.2345,0.0,0.209205057261227,0.111000466996627,0.132238623213446,0.120731983757581,0.071418469442199,0.71925,0.535,0.0215,0.122,0.0,0.881,0.67625,0.196,0.324,0.0,77.26,78.5,13.9836785327081,75.0,83.0
4,Hot Country,37i9dQZF1DX1lVhptIYRda,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,0.539461538461538,0.590326923076923,0.694711538461538,0.203673307692308,0.0430269230769231,0.0001055,0.5425,0.5955,0.705,0.1445,0.03505,0.0,0.183874366906945,0.0905650499947026,0.131076588379146,0.0211800971630704,0.0006447816667618,0.54275,0.5815,0.0535,0.030875,0.0,0.63225,0.792,0.2705,0.0476,0.0,70.8653846153846,71.0,4.42377199601198,69.0,73.25
5,¡Viva Latino!,37i9dQZF1DX10zKzsJ2jva,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva,0.61808,0.75434,0.68276,0.2191428,0.127918,0.0176589592,0.6215,0.7725,0.686,0.1395,0.09175,8.49e-06,0.172845789473668,0.0953737246150048,0.126836800170735,0.0899766742788692,0.0942125330127546,0.71325,0.61725,0.064975,0.057675,0.0,0.81275,0.7735,0.383,0.18725,0.000441,82.0,82.5,7.15997947779524,76.0,87.0
6,New Music Friday,37i9dQZF1DX4JAvHpjipBk,https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk,0.484911,0.66531,0.58304,0.251633126,0.123807,0.0110880229,0.4925,0.664,0.5955,0.1335,0.0646,2.24e-06,0.204907582467134,0.156737746286946,0.150442305462018,0.113879437626559,0.0426306946703988,0.5635,0.46925,0.057875,0.037325,0.0,0.773,0.686,0.40325,0.1765,0.00018825,18.72,17.0,16.8619348974205,1.0,30.0
7,Peaceful Piano,37i9dQZF1DX4sWSpwq3LiO,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,0.217142,0.36182,0.0424351,0.99005,0.04266,0.91577,0.1995,0.368,0.0306,0.993,0.04095,0.928,0.122048004448655,0.08500877910694,0.0371884737898476,0.0090983292949637,0.0527725929404323,0.29575,0.01435,0.989,0.035925,0.9025,0.4275,0.057125,0.994,0.0478,0.94425,62.39,64.0,5.72588487272994,61.0,66.0
8,Are & Be,37i9dQZF1DX4SBhb3fqCJd,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd,0.414098,0.61634,0.55448,0.2992852,0.121726,0.0064187216,0.4065,0.6165,0.544,0.2335,0.07635,1.155e-06,0.17954826136497,0.111981159129561,0.132519423297192,0.105474259960835,0.0210508540306633,0.5255,0.45525,0.12375,0.0504,0.0,0.7165,0.64225,0.39125,0.15375,0.000287,64.8,66.0,19.8997487421324,63.0,74.0
9,Rock Classics,37i9dQZF1DWXRqgorJj26U,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U,0.62309,0.5584,0.70597,0.203308785,0.064091,0.0440604556,0.656,0.5515,0.7215,0.125,0.0445,0.0007275,0.202488363302011,0.133454339030474,0.177917666521923,0.0598512079234746,0.12112554105844,0.46525,0.56625,0.018975,0.033475,5.38e-05,0.65325,0.86425,0.3675,0.067125,0.0173,74.78,75.0,4.75793860805074,71.0,78.0
10,mint,37i9dQZF1DX4dyzvuaRJ0n,https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n,0.474196629213483,0.692483146067416,0.78814606741573,0.0816529101123595,0.0704426966292135,0.117333609775281,0.464,0.689,0.82,0.0448,0.0451,0.000968,0.187755426292145,0.0983924323077966,0.126227117688874,0.0699084415627789,0.240519138090025,0.636,0.716,0.0121,0.0379,6.28e-06,0.759,0.877,0.0821,0.0729,0.104,64.4606741573034,65.0,12.9501282722458,60.0,70.0
