names,description,url,id,image,public
Today's Top Hits,Lil Nas X is on top of the Hottest 50!,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,37i9dQZF1DXcBWIGoYBM5M,https://i.scdn.co/image/ab67706f00000003043f5ae3bc32daf628ea6c47,True
RapCaviar,"Music from Lil Tecca, NLE Choppa and YNW Melly.",https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd,37i9dQZF1DX0XUsuxWHRQd,https://i.scdn.co/image/ab67706f00000003a7bc7dd692c5c05f5a7a0a37,True
Hot Country,"Today's top country hits of the week, worldwide! Cover: Dan + Shay",https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,37i9dQZF1DX1lVhptIYRda,https://i.scdn.co/image/ab67706f0000000383bb67968025ab39b2322128,True
¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Ingratax",https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva,37i9dQZF1DX10zKzsJ2jva,https://i.scdn.co/image/ab67706f00000003b013c70c52f585e00f12bf95,True
New Music Friday,"New music from Lizzo + Cardi B, Machine Gun Kelly, Dan + Shay, and more! ",https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk,37i9dQZF1DX4JAvHpjipBk,https://i.scdn.co/image/ab67706f0000000363f940688829f6d0eb41e74b,True
Peaceful Piano,Relax and indulge with beautiful piano pieces,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,37i9dQZF1DX4sWSpwq3LiO,https://i.scdn.co/image/ab67706f00000003ca5a7517156021292e5663a6,True
Are & Be,The pulse of R&B music today.  Cover: Brent Faiyaz,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd,37i9dQZF1DX4SBhb3fqCJd,https://i.scdn.co/image/ab67706f00000003c6d6dd24f58f37d223a61b37,True
Rock Classics,Rock legends and epic songs that continue to inspire generations.,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U,37i9dQZF1DWXRqgorJj26U,https://i.scdn.co/image/ab67706f000000031e4a64644c89f628292bf7c6,True
mint,"The world's biggest dance hits. Featuring new music from Tiesto & KAROL G, Joel Corry, Jax Jones, Saweetie & Charli XCX, RÜFÜS DU SOL and more!",https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n,37i9dQZF1DX4dyzvuaRJ0n,https://i.scdn.co/image/ab67706f00000003b5558ab337787cc0dd10024f,True
Rock This,"The newest music from Machine Gun Kelly, along with the top Rock songs you need to know.",https://open.spotify.com/playlist/37i9dQZF1DXcF6B6QPhFDv,37i9dQZF1DXcF6B6QPhFDv,https://i.scdn.co/image/ab67706f00000003d24b64d03d828be9ca6c6caf,True
New Music Friday,The very best in new music from around the world.  Cover: Lizzo & Cardi B,https://open.spotify.com/playlist/37i9dQZF1DWXJfnUiYjUKT,37i9dQZF1DWXJfnUiYjUKT,https://i.scdn.co/image/ab67706f00000003b547bb03405b212b223ced37,True
just hits,Current favorites and exciting new music. Cover: The Weeknd,https://open.spotify.com/playlist/37i9dQZF1DXcRXFNfZr7Tp,37i9dQZF1DXcRXFNfZr7Tp,https://i.scdn.co/image/ab67706f0000000369c016fd01a0527489b3f7cb,True
All Out 00s,The biggest songs of the 2000s.,https://open.spotify.com/playlist/37i9dQZF1DX4o1oenSJRJd,37i9dQZF1DX4o1oenSJRJd,https://i.scdn.co/image/ab67706f000000032035dd6c9268b001a79f7866,True
All Out 90s,The biggest songs of the 1990s.,https://open.spotify.com/playlist/37i9dQZF1DXbTxeAdrVG2l,37i9dQZF1DXbTxeAdrVG2l,https://i.scdn.co/image/ab67706f00000003e66d92af4b1c3da385d4a6a1,True
All Out 80s,The biggest songs of the 1980s. Cover: Phil Collins.,https://open.spotify.com/playlist/37i9dQZF1DX4UtSsGT1Sbe,37i9dQZF1DX4UtSsGT1Sbe,https://i.scdn.co/image/ab67706f0000000303b03013138d4637a05d6ffc,True
All Out 70s,"The biggest songs of the 1970s. Cover: The O'Jays.
",https://open.spotify.com/playlist/37i9dQZF1DWTJ7xPn4vNaz,37i9dQZF1DWTJ7xPn4vNaz,https://i.scdn.co/image/ab67706f00000003fe7af7e3213324659ede1d76,True
All Out 60s,"The biggest songs of the 1960s.
",https://open.spotify.com/playlist/37i9dQZF1DXaKIA8E7WcJj,37i9dQZF1DXaKIA8E7WcJj,https://i.scdn.co/image/ab67706f00000003a7f81e5fa70259efa172382b,True
All Out 50s,The biggest songs of the 1950s.,https://open.spotify.com/playlist/37i9dQZF1DWSV3Tk4GO2fq,37i9dQZF1DWSV3Tk4GO2fq,https://i.scdn.co/image/ab67706f0000000320be3dd26294d76b725cdaa4,True
Soft Pop Hits,Listen to easy songs from your favorite artists! Cover: Adele,https://open.spotify.com/playlist/37i9dQZF1DWTwnEm1IYyoj,37i9dQZF1DWTwnEm1IYyoj,https://i.scdn.co/image/ab67706f00000003a259e07a24c5b6ccf60de2d3,True
