names,id,url,mean_valence,med_valence,sd_valence,quant1_valence,quant3_valence,mean_danceability,med_danceability,sd_danceability,quant1_danceability,quant3_danceability,mean_energy,med_energy,sd_energy,quant1_energy,quant3_energy,mean_acousticness,med_acousticness,sd_acousticness,quant1_acousticness,quant3_acousticness,mean_speechiness,med_speechiness,sd_speechiness,quant1_speechiness,quant3_speechiness,mean_instrumentalness,med_instrumentalness,sd_instrumentalness,quant1_instrumentalness,quant3_instrumentalness
Today's Top Hits,37i9dQZF1DXcBWIGoYBM5M,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,0.6189721691678035,0.69,0.2647718673978983,0.425,0.842,0.723762619372442,0.737,0.15180772592315622,0.671,0.836,0.6641350613915417,0.689,0.14710906156928405,0.573,0.774,0.24929361527967264,0.121,0.2496638114269444,0.0645,0.352,0.09970436562073669,0.0656,0.082934087381292,0.0468,0.102,0.0012749886766712144,6.7e-06,0.004825649278079845,0.0,6e-05
RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd,0.4598150375939849,0.366,0.30295998702020305,0.181,0.7,0.7793157894736842,0.78,0.12258679595374278,0.71,0.9035,0.6161992481203007,0.58,0.1442207746771912,0.508,0.707,0.1481101804511278,0.068,0.1582400930568213,0.0298,0.2,0.22291052631578948,0.234,0.12214160496064991,0.123,0.288,3.027857142857143e-06,0.0,6.773888735311701e-06,0.0,1.14e-06
Hot Country,37i9dQZF1DX1lVhptIYRda,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,0.5447933884297521,0.562,0.17880934527010287,0.454,0.665,0.5749752066115702,0.575,0.10728718957467362,0.502,0.619,0.6975123966942148,0.745,0.17856544625162316,0.603,0.838,0.16436773884297518,0.0969,0.19272031086684116,0.0177,0.257,0.056214876033057845,0.0369,0.0664724123993769,0.0311,0.0549,0.0002784779338842975,0.0,0.0009262628092248958,0.0,6.47e-06
Viva Latino,37i9dQZF1DX10zKzsJ2jva,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva,0.5681012658227849,0.55,0.2062325442101249,0.423,0.775,0.7823417721518988,0.812,0.10705863457752396,0.695,0.87,0.6751075949367089,0.695,0.10493064651898512,0.623,0.752,0.19909139240506327,0.141,0.18676490875087864,0.0901,0.234,0.1184645569620253,0.0817,0.09181082466462571,0.0541,0.138,0.0072165326582278476,1.63e-05,0.04199983043919247,0.0,0.0006075
New Music Friday,37i9dQZF1DX4JAvHpjipBk,https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk,0.539169040247678,0.537,0.2490486276097369,0.334,0.772,0.6611547987616099,0.663,0.16106925577363235,0.558,0.78,0.6787461300309597,0.687,0.17146311541015738,0.565,0.802,0.21514380712074305,0.0955,0.23552242861269493,0.037,0.3345,0.13290959752321982,0.0792,0.11189871890551138,0.04295,0.211,0.04195358105263158,6.66e-06,0.16329003105128825,0.0,0.000261
Peaceful Piano,37i9dQZF1DX4sWSpwq3LiO,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,0.21449749999999998,0.186,0.1088554507287593,0.14075,0.2985,0.3809666666666666,0.374,0.07629354338281033,0.328,0.4315,0.04945458333333333,0.0381,0.039924902338211,0.024149999999999998,0.06035,0.9869,0.991,0.013453561585235752,0.986,0.994,0.044116666666666665,0.04195,0.00806616893156181,0.039,0.0488,0.9308083333333332,0.933,0.027782860272656792,0.9185000000000001,0.95
Are & Be,37i9dQZF1DX4SBhb3fqCJd,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd,0.46490657894736837,0.454,0.23961459802267865,0.261,0.642,0.6242434210526315,0.659,0.12467180739477478,0.5335000000000001,0.7057499999999999,0.5824144736842105,0.5785,0.17347830156428337,0.443,0.689,0.30785328947368423,0.213,0.2711804936228969,0.0581,0.52425,0.11223355263157894,0.0815,0.08218184000757299,0.0581,0.141,0.030317615855263158,3.29e-06,0.13611461867986377,0.0,0.00012525
Rock Classics,37i9dQZF1DWXRqgorJj26U,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U,0.5472487012987013,0.564,0.24991216687624912,0.299,0.781,0.5116623376623376,0.502,0.13885533072923353,0.421,0.5774999999999999,0.7222694805194805,0.758,0.20309942003029027,0.508,0.902,0.11636438327922076,0.0344,0.17114042723388517,0.00293,0.16725,0.06366363636363638,0.0461,0.06016285034566354,0.03335,0.0683,0.04859893149350649,0.00101,0.11811960693330278,3.31e-05,0.013875
mint,37i9dQZF1DX4dyzvuaRJ0n,https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n,0.5478061662198391,0.602,0.24481642571646453,0.343,0.742,0.6901367292225201,0.687,0.12029678830446817,0.61,0.777,0.784152815013405,0.797,0.10633036226607641,0.713,0.871,0.0935542198391421,0.0367,0.1344975197650157,0.0127,0.114,0.0773804289544236,0.0561,0.05340219094442629,0.0474,0.0826,0.06659272048257374,4.11e-05,0.1725415249906121,2.21e-06,0.00413
Rock This,37i9dQZF1DXcF6B6QPhFDv,https://open.spotify.com/playlist/37i9dQZF1DXcF6B6QPhFDv,0.5493140845070422,0.532,0.2137083137042615,0.452,0.66,0.5122957746478873,0.5,0.12377918962183512,0.451,0.634,0.8624647887323944,0.878,0.09833764832257594,0.846,0.934,0.006168954225352112,0.00127,0.014663736438486384,0.00024275000000000002,0.00437,0.07655985915492958,0.064,0.04328425271751096,0.049449999999999994,0.0898,0.028989115422535214,6.23e-06,0.10437624990628983,0.0,0.000574
New Music Friday,37i9dQZF1DWXJfnUiYjUKT,https://open.spotify.com/playlist/37i9dQZF1DWXJfnUiYjUKT,0.5367682242990653,0.537,0.2461461575205868,0.335,0.77,0.6593208722741433,0.663,0.1592823156983749,0.562,0.762,0.6768504672897196,0.687,0.17915097353934045,0.565,0.832,0.22542140093457946,0.0955,0.2483678234900425,0.0364,0.349,0.13372616822429906,0.0894,0.10961398063469874,0.0437,0.211,0.042706160623052956,9.42e-06,0.16377209824363723,0.0,0.00032
just hits,37i9dQZF1DXcRXFNfZr7Tp,https://open.spotify.com/playlist/37i9dQZF1DXcRXFNfZr7Tp,0.6052318669527897,0.575,0.21186269134119023,0.464,0.796,0.706239270386266,0.714,0.1131853400662461,0.621,0.78,0.7326180257510729,0.742,0.11742269901515479,0.69,0.797,0.15910168454935625,0.0826,0.20101152197193295,0.0248,0.198,0.07001030042918455,0.0493,0.04640026807762524,0.0444,0.081925,0.0010880409871244637,4.78e-06,0.004445204363881509,0.0,5.29e-05
All Out 2000s,37i9dQZF1DX4o1oenSJRJd,https://open.spotify.com/playlist/37i9dQZF1DX4o1oenSJRJd,0.5675971291866029,0.612,0.2404425127564322,0.374,0.758,0.6655119617224879,0.673,0.1658190854693449,0.557,0.778,0.7371419457735247,0.764,0.15103454932821367,0.661,0.849,0.11304520653907496,0.0515,0.17002057099905274,0.00511,0.15,0.09349840510366826,0.0623,0.085714299551545,0.0381,0.109,0.012128159409888357,0.0,0.058887977818821866,0.0,5.24e-05
All Out 90s,37i9dQZF1DXbTxeAdrVG2l,https://open.spotify.com/playlist/37i9dQZF1DXbTxeAdrVG2l,0.557223217922607,0.58,0.2447651096222649,0.382,0.7675000000000001,0.5653441955193482,0.565,0.16061836395222132,0.434,0.678,0.705224032586558,0.717,0.18789906841454007,0.596,0.864,0.13262819022403258,0.0395,0.18942978852595282,0.0082,0.183,0.06707291242362526,0.0364,0.07847184585121211,0.0307,0.0564,0.023503234663951118,5.62e-06,0.11180093246736991,0.0,0.000461
All Out 80s,37i9dQZF1DX4UtSsGT1Sbe,https://open.spotify.com/playlist/37i9dQZF1DX4UtSsGT1Sbe,0.6706904376012967,0.772,0.25823833082844505,0.535,0.875,0.6103662884927067,0.601,0.14148008911128138,0.527,0.709,0.7143598055105349,0.769,0.1994060992240566,0.549,0.887,0.17061494975688815,0.121,0.1789476078727213,0.0236,0.247,0.04862220421393841,0.0386,0.030106154335945785,0.0329,0.0505,0.03512044429497569,0.000214,0.09235260870305771,0.0,0.00709
All Out 70s,37i9dQZF1DWTJ7xPn4vNaz,https://open.spotify.com/playlist/37i9dQZF1DWTJ7xPn4vNaz,0.6433609467455622,0.696,0.22625556814590944,0.471,0.8262499999999999,0.6027544378698225,0.586,0.14125119854849813,0.49724999999999997,0.721,0.6191257396449704,0.625,0.19319799980611016,0.49,0.76,0.26342497041420115,0.213,0.23659551466212575,0.0589,0.396,0.05495665680473373,0.0362,0.056702597498075075,0.030600000000000002,0.053,0.01990764926035503,0.000243,0.07119214375681249,5.53e-06,0.00428
All Out 60s,37i9dQZF1DXaKIA8E7WcJj,https://open.spotify.com/playlist/37i9dQZF1DXaKIA8E7WcJj,0.655241935483871,0.659,0.21670310250336158,0.486,0.855,0.5379377880184332,0.538,0.13466316991253624,0.469,0.634,0.5428269585253457,0.54,0.18978186137421935,0.418,0.663,0.42488604377880185,0.408,0.25907226829263563,0.201,0.635,0.05533847926267281,0.0352,0.06455897759042002,0.032,0.0497,0.0286611034562212,1.38e-05,0.10462522850062675,0.0,0.00109
All Out 50s,37i9dQZF1DWSV3Tk4GO2fq,https://open.spotify.com/playlist/37i9dQZF1DWSV3Tk4GO2fq,0.6518993710691823,0.664,0.25491231912687135,0.433,0.8925000000000001,0.5566603773584906,0.555,0.12970374374561766,0.5045,0.642,0.47041773584905666,0.516,0.24970799340334446,0.2555,0.669,0.6940314465408804,0.76,0.21340842821384634,0.578,0.845,0.06354025157232704,0.0459,0.04508841541903643,0.0339,0.0736,0.015114845786163523,0.0,0.08293197578315413,0.0,0.000171
Soft Pop Hits,37i9dQZF1DWTwnEm1IYyoj,https://open.spotify.com/playlist/37i9dQZF1DWTwnEm1IYyoj,0.41313294930875577,0.424,0.2096904184757109,0.22725,0.538,0.5959781105990785,0.609,0.12746627925117174,0.509,0.677,0.5596555299539171,0.547,0.178811983642547,0.428,0.705,0.3736389861751152,0.291,0.3069236078087567,0.0654,0.604,0.053983986175115205,0.0405,0.0552859771584675,0.0315,0.04845,0.0010330107488479264,0.0,0.011107133106140664,0.0,1.08e-05
Signed XOXO,37i9dQZF1DX2A29LI7xHn1,https://open.spotify.com/playlist/37i9dQZF1DX2A29LI7xHn1,0.5895345070422536,0.577,0.25437983189657126,0.37575000000000003,0.7769999999999999,0.7824401408450704,0.801,0.13713633543336778,0.712,0.911,0.6376478873239437,0.601,0.1308460750903349,0.563,0.736,0.19048640845070422,0.107,0.18374399304463823,0.064025,0.319,0.21053697183098594,0.241,0.09396570876285999,0.106,0.288,0.0034131480633802815,0.0,0.01743268510283556,0.0,1.725e-05
Most Necessary,37i9dQZF1DX2RxBh64BHjQ,https://open.spotify.com/playlist/37i9dQZF1DX2RxBh64BHjQ,0.5325910204081632,0.508,0.2648609092155954,0.342,0.708,0.7772367346938776,0.805,0.11598180802424476,0.685,0.879,0.5943510204081635,0.573,0.12482791125078233,0.528,0.683,0.1919756326530612,0.121,0.19538904566785634,0.0423,0.349,0.2772665306122449,0.288,0.1200663345608636,0.201,0.338,1.024012244897959e-05,0.0,5.246789044209764e-05,0.0,0.0
Gold School,37i9dQZF1DWVA1Gq4XHa6U,https://open.spotify.com/playlist/37i9dQZF1DWVA1Gq4XHa6U,0.6389557823129252,0.662,0.2395104233523419,0.523,0.839,0.7795782312925169,0.816,0.14201422488899781,0.714,0.888,0.7178163265306122,0.713,0.1290970761639644,0.632,0.785,0.12765325850340134,0.127,0.09857496140237978,0.0394,0.206,0.21414965986394557,0.219,0.09921075006250939,0.121,0.28,0.00014632183673469386,0.0,0.0006455613445666167,0.0,0.0
Get Turnt,37i9dQZF1DWY4xHQp97fN6,https://open.spotify.com/playlist/37i9dQZF1DWY4xHQp97fN6,0.45086559139784943,0.366,0.28318927951316536,0.188,0.647,0.7967016129032258,0.825,0.11578432733151993,0.718,0.9,0.621994623655914,0.618,0.1346842367791614,0.56,0.691,0.1014400188172043,0.0498,0.12811323890639054,0.011,0.139,0.22326612903225804,0.226,0.1239793521765108,0.102,0.288,0.0051338490322580645,0.0,0.04322581840383285,0.0,2.41e-06
B.A.E.,37i9dQZF1DWX3387IZmjNa,https://open.spotify.com/playlist/37i9dQZF1DWX3387IZmjNa,0.37747916666666664,0.362,0.19069661654419437,0.181,0.50075,0.6737291666666666,0.712,0.11567499654014,0.616,0.718,0.5802916666666667,0.559,0.12500921369551898,0.461,0.663,0.22544270833333335,0.219,0.16550934954973748,0.068,0.314,0.21705312499999999,0.212,0.13689235413897494,0.0797,0.34,5.333239583333333e-05,0.0,0.00023363521558525372,0.0,0.0
African Heat,37i9dQZF1DWYkaDif7Ztbp,https://open.spotify.com/playlist/37i9dQZF1DWYkaDif7Ztbp,0.629127272727273,0.705,0.18509913580312187,0.4965,0.7742500000000001,0.7699909090909092,0.803,0.1130135573140703,0.72,0.859,0.6354818181818181,0.6295,0.12477912462274295,0.551,0.719,0.27466981818181824,0.296,0.18189351997063033,0.131,0.379,0.12117545454545457,0.0974,0.08258810162249769,0.0543,0.165,0.04019714418181817,0.000157,0.1390948598891619,3.2e-07,0.0021825000000000004
Mind Right,37i9dQZF1DX5hR0J49CmXC,https://open.spotify.com/playlist/37i9dQZF1DX5hR0J49CmXC,0.5796595744680849,0.568,0.16678880813845717,0.4655,0.7122499999999999,0.6010319148936171,0.6,0.13848080897495607,0.514,0.704,0.7197872340425533,0.7055,0.13946879809380155,0.636,0.8142499999999999,0.22730815957446818,0.181,0.2001758396583108,0.053125,0.3175,0.2789053191489361,0.286,0.14391600250790057,0.17,0.378,4.724531914893617e-05,0.0,0.00020107100761319424,0.0,0.0
Dancehall Official,37i9dQZF1DXan38dNVDdl4,https://open.spotify.com/playlist/37i9dQZF1DXan38dNVDdl4,0.4661632653061225,0.44,0.16837524399125794,0.357,0.596,0.7162448979591836,0.714,0.139318808644694,0.594,0.829,0.6446530612244898,0.644,0.11819855311797887,0.554,0.722,0.2780026530612245,0.242,0.21202932386401485,0.0784,0.396,0.23948163265306124,0.235,0.11721084220588232,0.141,0.33,0.002590420408163265,0.0,0.010344595575526978,0.0,3.47e-06
Westside Story,37i9dQZF1DWSvKsRPPnv5o,https://open.spotify.com/playlist/37i9dQZF1DWSvKsRPPnv5o,0.46907446808510644,0.4215,0.1882982214502488,0.379,0.6174999999999999,0.7796595744680854,0.789,0.09927160019999977,0.734,0.828,0.6086382978723406,0.613,0.11343103167832534,0.521,0.6737500000000001,0.20317553191489354,0.14,0.17409984941670203,0.04315,0.34125,0.20884361702127663,0.209,0.10920182908243126,0.105,0.30224999999999996,4.954297872340427e-05,0.0,0.0002560200308856471,0.0,1.18e-06
Power Workout,37i9dQZF1DWUVpAXiEPK8P,https://open.spotify.com/playlist/37i9dQZF1DWUVpAXiEPK8P,0.47921340206185564,0.4495,0.22604631953635249,0.357,0.65,0.7904123711340205,0.816,0.11127576281564423,0.73525,0.863,0.6179639175257732,0.611,0.12731546123933193,0.536,0.704,0.11334373195876288,0.0635,0.1478323433666494,0.00575,0.127,0.17623402061855672,0.129,0.12122493663215944,0.0762,0.245,0.010378173505154641,0.0,0.04067232526731111,0.0,5.39e-05
