,names,description,url,id,image,public
0,Today's Top Hits,Justin Bieber is on top of the Hottest 50!,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,37i9dQZF1DXcBWIGoYBM5M,https://i.scdn.co/image/ab67706f000000032fdcbc40ed017728a82793c7,True
1,RapCaviar,"Music from Moneybagg Yo, Lil Mosey and Tee Grizzley.",https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd,37i9dQZF1DX0XUsuxWHRQd,https://i.scdn.co/image/ab67706f00000003f1cf4be990a8fab7b4b04ed6,True
2,Hot Country,"Today's top country hits of the week, worldwide! Cover: Mitchell Tenpenny",https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,37i9dQZF1DX1lVhptIYRda,https://i.scdn.co/image/ab67706f00000003c3023e99592894d830a43fc6,True
3,¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Paloma Mami",https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva,37i9dQZF1DX10zKzsJ2jva,https://i.scdn.co/image/ab67706f00000003a7062484f5b7b673f3920015,True
4,New Music Friday,"New music from Justin Bieber, Lil Tjay, J Balvin, Lana Del Rey, and more! ",https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk,37i9dQZF1DX4JAvHpjipBk,https://i.scdn.co/image/ab67706f00000003c834a2b3e0db45fa8e09c40b,True
5,Peaceful Piano,Relax and indulge with beautiful piano pieces,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,37i9dQZF1DX4sWSpwq3LiO,https://i.scdn.co/image/ab67706f00000003ca5a7517156021292e5663a6,True
6,Are & Be,The pulse of R&B music today.  Cover: Silk Sonic,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd,37i9dQZF1DX4SBhb3fqCJd,https://i.scdn.co/image/ab67706f0000000390639428a04af92a0c87fb3f,True
7,Rock Classics,Rock legends and epic songs that continue to inspire generations.,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U,37i9dQZF1DWXRqgorJj26U,https://i.scdn.co/image/ab67706f00000003519fc8771d90f496501a4da3,True
8,mint,"The world's biggest dance hits. New music from Alesso and CORSAK, Lost Frequencies and more!",https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n,37i9dQZF1DX4dyzvuaRJ0n,https://i.scdn.co/image/ab67706f000000038731107271e2d44831e6c78f,True
9,Rock This,"The newest music from Rise Against, along with the top Rock songs you need to know.",https://open.spotify.com/playlist/37i9dQZF1DXcF6B6QPhFDv,37i9dQZF1DXcF6B6QPhFDv,https://i.scdn.co/image/ab67706f00000003eddea82e5b3decf2f4265ab8,True
10,New Music Friday,The very best in new music from around the world. Cover: Justin Bieber,https://open.spotify.com/playlist/37i9dQZF1DWXJfnUiYjUKT,37i9dQZF1DWXJfnUiYjUKT,https://i.scdn.co/image/ab67706f00000003abbde8339ecbbdc8e2c61a96,True
11,just hits,"Current favorites and exciting new music. Cover: Maroon 5, Megan Thee Stallion",https://open.spotify.com/playlist/37i9dQZF1DXcRXFNfZr7Tp,37i9dQZF1DXcRXFNfZr7Tp,https://i.scdn.co/image/ab67706f00000003cd9f2d3d3d4866b0bddaef95,True
12,All Out 00s,"The decade that catapulted electronic music, hip hop and indie rock into the mainstream.",https://open.spotify.com/playlist/37i9dQZF1DX4o1oenSJRJd,37i9dQZF1DX4o1oenSJRJd,https://i.scdn.co/image/ab67706f00000003320f20022a9b6a6e55204a30,True
13,All Out 90s,"Boy bands, girl groups, britpop, grunge & a golden era for hip hop.",https://open.spotify.com/playlist/37i9dQZF1DXbTxeAdrVG2l,37i9dQZF1DXbTxeAdrVG2l,https://i.scdn.co/image/ab67706f00000003aa5bdf2f9b84adb9fdb0ed69,True
14,All Out 80s,"Dramatic, diverse to the sometimes ridiculous - here's the 80's.",https://open.spotify.com/playlist/37i9dQZF1DX4UtSsGT1Sbe,37i9dQZF1DX4UtSsGT1Sbe,https://i.scdn.co/image/ab67706f00000003fb0254ee75b923c40ca8a5dc,True
15,All Out 70s,,https://open.spotify.com/playlist/37i9dQZF1DWTJ7xPn4vNaz,37i9dQZF1DWTJ7xPn4vNaz,https://i.scdn.co/image/ab67706f00000003d836d081b18fa9939b2df936,True
16,All Out 60s,The essential tracks from a decade of revolutions.,https://open.spotify.com/playlist/37i9dQZF1DXaKIA8E7WcJj,37i9dQZF1DXaKIA8E7WcJj,https://i.scdn.co/image/ab67706f00000003653946443a876efe6f445e33,True
17,All Out 50s,The 50's were a time of changes and the birth of Rock ’n’ Roll.,https://open.spotify.com/playlist/37i9dQZF1DWSV3Tk4GO2fq,37i9dQZF1DWSV3Tk4GO2fq,https://i.scdn.co/image/ab67706f0000000303f87c760c5ea27a54abc2e4,True
18,Soft Pop Hits,Listen to easy songs from your favorite artists! Cover: Ed Sheeran,https://open.spotify.com/playlist/37i9dQZF1DWTwnEm1IYyoj,37i9dQZF1DWTwnEm1IYyoj,https://i.scdn.co/image/ab67706f000000038a8cd980c91cdb58bd61e3f3,True
19,Signed XOXO,Crossing over like Allen I. Cover: Lil Tjay,https://open.spotify.com/playlist/37i9dQZF1DX2A29LI7xHn1,37i9dQZF1DX2A29LI7xHn1,https://i.scdn.co/image/ab67706f00000003b1218f60ecfe62a8d133af01,True
20,Most Necessary,The official voice of generation next. Cover: Pooh Shiesty,https://open.spotify.com/playlist/37i9dQZF1DX2RxBh64BHjQ,37i9dQZF1DX2RxBh64BHjQ,https://i.scdn.co/image/ab67706f0000000310b96d53f4e72d61b80f1751,True
21,Gold School,Taking it back. Cover: Busta Rhymes,https://open.spotify.com/playlist/37i9dQZF1DWVA1Gq4XHa6U,37i9dQZF1DWVA1Gq4XHa6U,https://i.scdn.co/image/ab67706f00000003070f01e1375386b8569da6c8,True
22,Get Turnt,Mode: Turnt,https://open.spotify.com/playlist/37i9dQZF1DWY4xHQp97fN6,37i9dQZF1DWY4xHQp97fN6,https://i.scdn.co/image/ab67706f00000003144d60cf216a8ce83f9efb01,True
23,B.A.E.,Hip-Hop + R&B: Before. Anything. Else. Cover: Chris Brown & Young Thug,https://open.spotify.com/playlist/37i9dQZF1DWX3387IZmjNa,37i9dQZF1DWX3387IZmjNa,https://i.scdn.co/image/ab67706f00000003d39f98bec0551f518c3224d5,True
24,African Heat,"Real African vibes, right here. Africa to the world! Cover: <a href=""https://open.spotify.com/artist/3ukrG1BmfEiuo0KDj8YTTS?si=S6ccgV8bQp2VkRXjMHkeAw"">Teni</a>",https://open.spotify.com/playlist/37i9dQZF1DWYkaDif7Ztbp,37i9dQZF1DWYkaDif7Ztbp,https://i.scdn.co/image/ab67706f0000000309624fb0d0838f7b4c49d826,True
25,Mind Right,The Real hip-hop. Cover: Denzel Curry,https://open.spotify.com/playlist/37i9dQZF1DX5hR0J49CmXC,37i9dQZF1DX5hR0J49CmXC,https://i.scdn.co/image/ab67706f0000000312d65ecca744f8985eaac0f0,True
26,Dancehall Official,The best in new & current Dancehall. Cover: Popcaan,https://open.spotify.com/playlist/37i9dQZF1DXan38dNVDdl4,37i9dQZF1DXan38dNVDdl4,https://i.scdn.co/image/ab67706f00000003564934a9876e3ec77405933d,True
27,Westside Story,Holdin' it down for the westside. Cover: Kalan.FrFr,https://open.spotify.com/playlist/37i9dQZF1DWSvKsRPPnv5o,37i9dQZF1DWSvKsRPPnv5o,https://i.scdn.co/image/ab67706f000000032d3940e37e463c75ddddbb8b,True
28,Power Workout,For whatever activity you do that may need a punch of intensity!,https://open.spotify.com/playlist/37i9dQZF1DWUVpAXiEPK8P,37i9dQZF1DWUVpAXiEPK8P,https://i.scdn.co/image/ab67706f000000035b9afc20f73de2953ea450f7,True
29,No Cap,Keeping it real for the dirty south. Cover: SpotemGotem,https://open.spotify.com/playlist/37i9dQZF1DX0Tkc6ltcBfU,37i9dQZF1DX0Tkc6ltcBfU,https://i.scdn.co/image/ab67706f000000037a5aab110efe1cb72ae52f50,True
30,State of Mind,Up and down I-95. Cover: Rowdy Rebel,https://open.spotify.com/playlist/37i9dQZF1DX1YPTAhwehsC,37i9dQZF1DX1YPTAhwehsC,https://i.scdn.co/image/ab67706f000000030d6858303d46733096f2683a,True
31,Alternative Hip Hop,"New, leftfield and for the real hip-hop stans! Cover: Baby Keem",https://open.spotify.com/playlist/37i9dQZF1DWTggY0yqBxES,37i9dQZF1DWTggY0yqBxES,https://i.scdn.co/image/ab67706f0000000394fdb051cde6da029a9afe97,True
32,Workout Twerkout,Get your body right with this workout twerkout,https://open.spotify.com/playlist/37i9dQZF1DX0HRj9P7NxeE,37i9dQZF1DX0HRj9P7NxeE,https://i.scdn.co/image/ab67706f0000000305b898dee14d4c0df8642d21,True
33,We Everywhere,"Afro sounds crossing borders. Top Afro Bashment, Pop, Fusion / X-Overs from all across the world.  Cover: <a href=""spotify:artist:3tVQdUvClmAT7URs9V3rsp"">WizKid</a>",https://open.spotify.com/playlist/37i9dQZF1DWT6SJaitNDax,37i9dQZF1DWT6SJaitNDax,https://i.scdn.co/image/ab67706f000000035e2da04ffe7dd09fe225d6c5,True
34,Black History Salute,Saluting the songs and artists that have filled us with pride.,https://open.spotify.com/playlist/37i9dQZF1DX2r0FByV5U4C,37i9dQZF1DX2r0FByV5U4C,https://i.scdn.co/image/ab67706f00000003541ee6776be2adaf393ca8ea,True
35,Behind The Lyrics: Hip Hop,"Watch your screen as you listen to see lyrics, fun facts, and artist stories from Genius! (on mobile only)",https://open.spotify.com/playlist/37i9dQZF1DXaKctwWdt4be,37i9dQZF1DXaKctwWdt4be,https://i.scdn.co/image/ab67706f00000003e3fb132e20dc80ab038883f7,True
36,New Noise,Here's your cheat sheet for everything new in the rock/alt world. Cover: YONAKA,https://open.spotify.com/playlist/37i9dQZF1DWT2jS7NwYPVI,37i9dQZF1DWT2jS7NwYPVI,https://i.scdn.co/image/ab67706f00000003297d4e4c0704447ebc3374b0,True
37,The New Alt,No rules. No boundaries. Just cool music you need to hear. Cover: grandson,https://open.spotify.com/playlist/37i9dQZF1DX82GYcclJ3Ug,37i9dQZF1DX82GYcclJ3Ug,https://i.scdn.co/image/ab67706f00000003e074455e07e67077fef6c12d,True
